rating,date,comment,raw_word_count,language,clean_comment,year_month,clean_word_count
5.0,2026-01-21,"If someone says they don’t like this movie, don’t associate with them",12,en,someone say like movie associate,2026-01,5
4.5,2026-01-21,"Maybe the best 3d animated Disney movie? Anyway, thats how good it is! Great story, great characters with heart, humour and more! Defo recommend.",24,en,maybe best animated disney movie anyway thats good great story great character heart humour defo recommend,2026-01,16
5.0,2026-01-19,Probably The Greatest Disney Movie Ever Made!!,7,en,probably greatest disney movie ever made,2026-01,6
4.0,2026-01-17,Tokyo is a interesting movie that you get to watch is very cool. I gave you four stars because I couldn’t watch it fully.,24,en,tokyo interesting movie get watch cool gave four star watch fully,2026-01,11
0.5,2026-01-16,"Zootopia is an animated movie that seems far more interested in making sure you understand its message than in trusting you to enjoy the story. From early on, the film’s allegory for racism is pushed so hard it stops being allegory and starts feeling like a checklist. Every conflict exists to reinforce the same point, and characters regularly pause the momentum to restate the moral in plain terms. There’s little room for subtext, ambiguity, or audience interpretation. If you somehow missed the message the first time, don’t worry—the movie will repeat it again, slower, and with emphasis. What’s frustrating is that the world-building and premise are genuinely clever. But instead of letting themes emerge naturally, the film insists on guiding your reaction at every step. By the second half, the messaging becomes so overt and self-satisfied that it actively hurts watchability. It’s not offensive. It’s exhausting. A movie that mistakes repetition for depth and sincerity for insight.",157,en,zootopia animated movie seems far interested making sure understand message trusting enjoy story early film allegory racism pushed hard stop allegory start feeling like checklist every conflict exists reinforce point character regularly pause momentum restate moral plain term little room subtext ambiguity audience interpretation somehow missed message first time worry movie repeat slower emphasis frustrating world building premise genuinely clever instead letting theme emerge naturally film insists guiding reaction every step second half messaging becomes overt self satisfied actively hurt watchability offensive exhausting movie mistake repetition depth sincerity insight,2026-01,89
4.5,2026-01-13,Has an impressive plotline and enjoyable for both older and younger audience.,12,en,impressive plotline enjoyable older younger audience,2026-01,6
5.0,2026-01-12,Best movie ever!!! Absolutely must see!!! 😜,7,en,best movie ever absolutely must see,2026-01,6
4.5,2026-01-08,The best Disney and Pixar movie of all time.Alomst everything about this movie is perfect and the world building is just so insane.,23,en,best disney pixar movie time alomst everything movie perfect world building insane,2026-01,12
5.0,2026-01-05,Great movie top 10 Disney for sure,7,en,great movie top disney sure,2026-01,5
5.0,2026-01-04,"Rating it off 2 watches and it’s a good Disney series! Great film, excited to see 2!",17,en,rating watch good disney series great film excited see,2026-01,9
5.0,2026-01-03,"I loved the characters, the sweet story and the colorful city!",11,en,loved character sweet story colorful city,2026-01,6
5.0,2025-12-31,This is the best Disney movie I've seen!!!!!!!,8,en,best disney movie seen,2025-12,4
3.0,2025-12-30,Ok because it is about this bunny called Judy Hops and she becomes a police officer and she meets this fox called Nick and they have to stop the criminal that makes animals savage ok movie 7/10,37,en,ok bunny called judy hop becomes police officer meet fox called nick stop criminal make animal savage ok movie,2025-12,19
5.0,2025-12-27,Amazing movie with hilarious jokes,5,en,amazing movie hilarious joke,2025-12,4
4.5,2025-12-27,This is a very good movie that anyone can enjoy,10,en,good movie anyone enjoy,2025-12,4
4.5,2025-12-27,"An unexpected plesant surprise. The color, animation and imagination were as good as it gets.",15,en,unexpected plesant surprise color animation imagination good get,2025-12,8
5.0,2025-12-25,My favorite Disney movie same with wreck it Ralph,9,en,favorite disney movie wreck ralph,2025-12,5
5.0,2025-12-22,Gave me so many memories.,5,en,gave many memory,2025-12,3
5.0,2025-12-21,Great film and good detail.,5,en,great film good detail,2025-12,4
5.0,2025-12-18,"If like me you arent usually a huge fan of animated movies, i mean youll love this. Genuinely its written really well and most of the jokes land pretty good too.",31,en,like arent usually huge fan animated movie mean youll love genuinely written really well joke land pretty good,2025-12,18
4.5,2025-12-15,Cute family friendly movie. Really entertaining.,6,en,cute family friendly movie really entertaining,2025-12,6
4.0,2025-12-15,Definitely a good movie. The story was well written in my opinion with some good twists and emotional beats. Some of the jokes weren't that funny though. Definitely recommend watching it with someone else because it makes it more fun,40,en,definitely good movie story well written opinion good twist emotional beat joke funny though definitely recommend watching someone else make fun,2025-12,21
5.0,2025-12-13,"The characters of the movie are amazing nd each character is amazing in its own way.LOVED THE MOVIE, i have watched it atleast 5 times now.The plot twists in this movie are mind blowing.",34,en,character movie amazing nd character amazing way loved movie watched atleast time plot twist movie mind blowing,2025-12,17
4.0,2025-12-12,"Zootopia is a modern classic of Disney animation, packed with energetic visuals, incredible voice acting, and a world that feels instantly alive. Its world-building is clever and layered, supporting a genuinely engaging central mystery that keeps the story moving. The final villain is a bit underwhelming, keeping it just shy of Disney’s very best—but it’s absolutely worth the watch, and the Shakira song is an undeniable banger.",67,en,zootopia modern classic disney animation packed energetic visuals incredible voice acting world feel instantly alive world building clever layered supporting genuinely engaging central mystery keep story moving final villain bit underwhelming keeping shy disney best absolutely worth watch shakira song undeniable banger,2025-12,42
4.0,2025-12-12,It's so entertaining and carries great messages. But the way it establishes the predator-prey conflict as bias still has some issues. There is stuff in it that is better not to think too much about in so many ways.,39,en,entertaining carry great message way establishes predator prey conflict bias still issue stuff better think much many way,2025-12,18
3.5,2025-12-11,"Besides the ending, at least it's a watchable movie",9,en,besides ending least watchable movie,2025-12,5
5.0,2025-12-10,Love this movie. It’s so cute. Haven’t seen it since it first came out. I ship nick and Judy so hard.. 😬.,22,en,love movie cute seen since first came ship nick judy hard,2025-12,11
3.5,2025-12-09,"The animation is gorgeous, charatcers are great, and there are legitimately moments. Some of the themes suck- a girlboss cop causes racism while also fixing it. The allegories are muddled and it bashed you over the head with copaganda. I mean really, being oversealous giving parking tickets is presented as a noble act in one scene. Hopps tricks a guy into tresspassing and then extorts him. She mentions ways of getting around the need for warants. It is charmning on the surface, but if you actually analyze the story, it is rotten at its core.",95,en,animation gorgeous charatcers great legitimately moment theme suck girlboss cop cause racism also fixing allegory muddled bashed head copaganda mean really oversealous giving parking ticket presented noble act one scene hopps trick guy tresspassing extorts mention way getting around need warants charmning surface actually analyze story rotten core,2025-12,48
2.0,2025-12-08,"I understand why this movie gets praised by everyone, but it is not for me. The story is kinda lame, the animation looks nothing special and some of the characters can be written better. There is a lot of praised about the theme of countering prejudices and stereotypes of animals because their are born with advantages and disadvantages, therefore it is something very unfounded as a theme using animals as metaphors. Most of the jokes didn't land and I like when Nick started to accept Judy, but I don't like the scene where Judy apologises to Nick, because it looked so ridiculous.",102,en,understand movie get praised everyone story kinda lame animation look nothing special character written better lot praised theme countering prejudice stereotype animal born advantage disadvantage therefore something unfounded theme using animal metaphor joke land like nick started accept judy like scene judy apologises nick looked ridiculous,2025-12,46
3.5,2025-12-08,A rare case of liking the sequel over the original. May have felt differently on this if I had seen it first.,22,en,rare case liking sequel original may felt differently seen first,2025-12,10
4.0,2025-12-08,"It’s a bright, bustling movie with a surprisingly layered mystery tucked beneath all the animal gags. The animation is top-tier—every corner of the city feels alive, and every character move sells the comedy. And it is genuinely funny, the kind of humor that sneaks up on you while the story quietly builds something heartfelt. What really makes it sing is how it blends optimism, social bite, and pure charm without ever feeling heavy-handed. It’s a high Disney-Pixar-caliber film that knows exactly what it’s doing: entertaining you while saying something real. Smart, warm, witty—Zootopia earns its four stars with style.",99,en,bright bustling movie surprisingly layered mystery tucked beneath animal gag animation top tier every corner city feel alive every character move sell comedy genuinely funny kind humor sneak story quietly build something heartfelt really make sing blend optimism social bite pure charm without ever feeling heavy handed high disney pixar caliber film know exactly entertaining saying something real smart warm witty zootopia earns four star style,2025-12,66
4.5,2025-12-08,"🏆93% Zootopia was probably my favorite Disney movie when it first came out, and it’s still my favorite even now. It’s definitely one of the more mature Disney films. It has some references to other movies and even some shows; there’s actually a reference to Breaking Bad in this, and I heard that in the second movie there will be even more references to other media than what this film has. Anyway, the best part of this movie is easily the dynamic between Nick and Judy. When I first watched the movie, I remember liking it because it was the first time a Disney movie actually shocked me with its twist villain, but it seems I completely forgot how good their dynamic was. I’m seeing Zootopia 2 tomorrow, I hope it’s at least almost as good as the first film!",140,en,zootopia probably favorite disney movie first came still favorite even definitely one mature disney film reference movie even show actually reference breaking bad heard second movie even reference medium film anyway best part movie easily dynamic nick judy first watched movie remember liking first time disney movie actually shocked twist villain seems completely forgot good dynamic seeing zootopia tomorrow hope least almost good first film,2025-12,65
4.0,2025-12-08,"Zootopia is a fast-paced fun animated film with some interesting nuanced themes. The characters are pretty well-written and a joy to watch. The dialogues and situations are funny. The themes are handled more maturely than I had initially expected, but they're still perfectly easy to handle for a child. The story is simple, but the twists are not too obvious and work well with the characters. The directing is good with a light-hearted tone. The cinematography is good enough and the pacing is great. The cast is good, but pretty weird, because when I heard a familiar voice, I couldn't place it. Zootopia is a lot of fun.",108,en,zootopia fast paced fun animated film interesting nuanced theme character pretty well written joy watch dialogue situation funny theme handled maturely initially expected still perfectly easy handle child story simple twist obvious work well character directing good light hearted tone cinematography good enough pacing great cast good pretty weird heard familiar voice place zootopia lot fun,2025-12,56
5.0,2025-12-07,"This movie manages to represent the topic racism while also making an amazing movie for kids. The plot was perfectly written, not to mention the details in this films deserves more recognition, especially the infrastructure seen being used in the city Zootopia itself. Overall, a great movie to see with anyone, especially children.",53,en,movie manages represent topic racism also making amazing movie kid plot perfectly written mention detail film deserves recognition especially infrastructure seen used city zootopia overall great movie see anyone especially child,2025-12,31
5.0,2025-12-06,"Truly a must see! Dare I say this is the best Disney sequal to be released in many years. Our kids have asked to see it again and I'd usually say we'll wait until the Disney+ release, but I'm happy to oblige them this time!",45,en,truly must see dare say best disney sequal released many year kid asked see usually say wait disney release happy oblige time,2025-12,22
5.0,2025-12-06,I waited so long to see Nick and Judy have some progress in their relationship but the slow burn is healing me. I love Zootopia so much it's like watching a romcom,32,en,waited long see nick judy progress relationship slow burn healing love zootopia much like watching romcom,2025-12,16
5.0,2025-12-06,Great movie！I‘ve already seen it twice！,6,en,great movie already seen twice,2025-12,5
5.0,2025-12-06,What a rare experience of a great sequel to a Disney Movie. I am very much looking forward to the next adventure of the two couples. Disney...Listen to your audience. This is a step forward.,35,en,rare experience great sequel disney movie much looking forward next adventure two couple disney listen audience step forward,2025-12,18
5.0,2025-12-06,A brilliant story about following your dreams.,7,en,brilliant story following dream,2025-12,4
5.0,2025-12-05,The movie is like a new world to explore. The story plot is worth for the audience.,17,en,movie like new world explore story plot worth audience,2025-12,9
5.0,2025-12-05,Great movie by Disney! Jason Bateman and Ginnifer Goodwin are fantastic together!,12,en,great movie disney jason bateman ginnifer goodwin fantastic together,2025-12,9
2.0,2025-12-04,The plot is way worst than the first one. Suspense not strong enough at all. very disappointed.,17,en,plot way worst first one suspense strong enough disappointed,2025-12,9
5.0,2025-12-03,"This movie is way deeper than it looks. Funny, emotional, and surprisingly real. You should watch it at least once.",20,en,movie way deeper look funny emotional surprisingly real watch least,2025-12,10
3.0,2025-12-03,"It's creative and well made, but it was a little too dark for me for some reason.",17,en,creative well made little dark reason,2025-12,6
